ar,smasvaedi,kyn,aldursflokkur,fjoldi
2023,4204,1,0-4 ára,31
2023,2406,2,0-4 ára,40
2023,504,2,0-4 ára,59
2023,3201,1,0-4 ára,34
2023,3205,1,0-4 ára,57
2023,2406,1,0-4 ára,44
2023,1901,1,0-4 ára,99
2023,1403,1,0-4 ára,43
2023,1805,1,0-4 ára,98
2023,3801,1,0-4 ára,98
2023,803,2,0-4 ára,74
2023,2002,1,0-4 ára,23
2023,2301,2,0-4 ára,56
2023,807,1,0-4 ára,40
2023,1006,2,0-4 ára,41
2023,1811,1,0-4 ára,52
2023,3304,2,0-4 ára,58
2023,4202,1,0-4 ára,28
2023,606,1,0-4 ára,61
2023,3901,1,0-4 ára,54
2023,3303,1,0-4 ára,47
2023,3202,1,0-4 ára,60
2023,1203,1,0-4 ára,74
2023,3601,1,0-4 ára,58
2023,3302,2,0-4 ára,58
2023,1807,1,0-4 ára,64
2023,2903,2,0-4 ára,43
2023,503,1,0-4 ára,63
2023,4101,1,0-4 ára,34
2023,2803,1,0-4 ára,123
2023,3701,1,0-4 ára,35
2023,2202,1,0-4 ára,86
2023,3305,2,0-4 ára,56
2023,205,2,0-4 ára,41
2023,101,1,0-4 ára,51
2023,3802,2,0-4 ára,48
2023,1204,1,0-4 ára,73
2023,502,1,0-4 ára,54
2023,2001,2,0-4 ára,38
2023,1304,1,0-4 ára,117
2023,2801,1,0-4 ára,70
2023,2404,2,0-4 ára,94
2023,3802,1,0-4 ára,37
2023,1702,2,0-4 ára,25
2023,2703,2,0-4 ára,68
2023,104,1,0-4 ára,43
2023,502,2,0-4 ára,38
2023,1502,2,0-4 ára,76
2023,1305,1,0-4 ára,15
2023,503,2,0-4 ára,63
2023,2201,2,0-4 ára,61
2023,1602,1,0-4 ára,79
2023,2701,2,0-4 ára,54
2023,2402,1,0-4 ára,48
2023,2105,2,0-4 ára,49
2023,1903,2,0-4 ára,14
2023,2404,1,0-4 ára,111
2023,3204,2,0-4 ára,53
2023,208,1,0-4 ára,55
2023,1205,2,0-4 ára,13
2023,3504,1,5-9 ára,87
2023,3001,2,5-9 ára,59
2023,2201,1,5-9 ára,77
2023,3504,2,5-9 ára,91
2023,706,2,5-9 ára,75
2023,3005,1,5-9 ára,45
2023,3105,1,5-9 ára,34
2023,904,2,5-9 ára,58
2023,205,2,5-9 ára,37
2023,4101,2,5-9 ára,43
2023,2803,2,5-9 ára,88
2023,1104,1,5-9 ára,53
2023,2904,2,5-9 ára,110
2023,901,2,5-9 ára,71
2023,1808,1,5-9 ára,93
2023,2801,2,5-9 ára,56
2023,2902,1,5-9 ára,39
2023,404,2,5-9 ára,62
2023,902,2,5-9 ára,34
2023,705,1,5-9 ára,77
2023,2503,2,5-9 ára,56
2023,1303,1,5-9 ára,38
2023,3802,1,5-9 ára,33
2023,3902,2,5-9 ára,69
2023,3901,1,5-9 ára,67
2023,2705,2,5-9 ára,75
2023,2102,1,5-9 ára,35
2023,1401,1,5-9 ára,85
2023,2007,2,5-9 ára,40
2023,2302,2,5-9 ára,37
2023,705,2,5-9 ára,73
2023,2405,2,5-9 ára,59
2023,204,1,5-9 ára,32
2023,4001,1,5-9 ára,18
2023,404,1,5-9 ára,55
2023,2903,2,5-9 ára,53
2023,304,1,5-9 ára,25
2023,702,2,5-9 ára,36
2023,202,2,5-9 ára,38
2023,207,2,5-9 ára,30
2023,2802,2,5-9 ára,48
2023,4201,2,5-9 ára,46
2023,1806,2,5-9 ára,23
2023,802,1,5-9 ára,38
2023,1808,2,5-9 ára,66
2023,3601,1,5-9 ára,56
2023,2504,2,5-9 ára,57
2023,805,1,5-9 ára,39
2023,3404,1,5-9 ára,27
2023,1603,2,5-9 ára,81
2023,1503,2,5-9 ára,67
2023,207,1,5-9 ára,36
2023,4003,2,5-9 ára,37
2023,3501,1,5-9 ára,37
2023,2405,1,5-9 ára,67
2023,2701,1,5-9 ára,44
2023,201,1,5-9 ára,22
2023,1402,1,5-9 ára,97
2023,1204,2,5-9 ára,50
2023,2005,2,5-9 ára,63
2023,901,1,5-9 ára,69
2023,604,1,5-9 ára,63
2023,2601,2,5-9 ára,47
2023,201,2,5-9 ára,28
2023,3004,2,5-9 ára,133
2023,3701,2,5-9 ára,36
2023,2103,2,5-9 ára,52
2023,1101,1,5-9 ára,38
2023,3006,2,5-9 ára,32
2023,2301,2,5-9 ára,61
2023,2602,1,5-9 ára,101
2023,604,2,5-9 ára,58
2023,2401,1,5-9 ára,56
2023,1904,1,5-9 ára,58
